Country_Key,Country_Name,Country_Code,Continent Name
C_001,Algeria,AF,Africa
C_002,Angola,AL,Africa
C_003,Benin,DZ,Africa
C_004,Botswana,AS,Africa
C_005,Burkina Faso,AD,Africa
C_006,Burundi,AO,Africa
C_007,Cameroon,AQ,Africa
C_008,Cape Verde,AG,Africa
C_009,Central African Republic,AR,Africa
C_010,Chad,AM,Africa
C_011,Comoros,AU,Africa
C_012,Democratic Republic of Congo,AT,Africa
C_013,Republic of the Congo,AZ,Africa
C_014,Cote d'Ivoire,BS,Africa
C_015,Djibouti,BH,Africa
C_016,Egypt,BD,Africa
C_017,Equatorial Guinea,BB,Africa
C_018,Eritrea,BY,Africa
C_019,Ethiopia,BE,Africa
C_020,Gabon,BZ,Africa
C_021,Gambia,BM,Africa
C_022,Ghana,BT,Africa
C_023,Guinea,BO,Africa
C_024,Guinea-Bissau,BA,Africa
C_025,Kenya,BW,Africa
C_026,Lesotho,BV,Africa
C_027,Liberia,BR,Africa
C_028,Libyan Arab Jamahiriya,IO,Africa
C_029,Madagascar,VG,Africa
C_030,Malawi,BN,Africa
C_031,Mali,BG,Africa
C_032,Mauritania,BI,Africa
C_033,Mauritius,KH,Africa
C_034,Mayotte,CM,Africa
C_035,Morocco,CA,Africa
C_036,Mozambique,CV,Africa
C_037,Namibia,KY,Africa
C_038,Niger,CF,Africa
C_039,Nigeria,TD,Africa
C_040,Reunion,CL,Africa
C_041,Rwanda,CN,Africa
C_042,Saint Helena,CX,Africa
C_043,Sao Tome and Principe,CC,Africa
C_044,Senegal,CO,Africa
C_045,Seychelles,MM,Africa
C_046,Sierra Leone,YT,Africa
C_047,Somalia,MM,Africa
C_048,South Africa,SB,Africa
C_049,South Sudan,LK,Africa
C_050,Sudan,TW,Africa
C_051,Swaziland,,Africa
C_052,Tanzania,,Africa
C_053,Togo,,Africa
C_054,Tunisia,,Africa
C_055,Uganda,,Africa
C_056,Western Sahara,,Africa
C_057,Zambia,,Africa
C_058,Zimbabwe,,Africa
C_059,Antarctica (the territory South of 60 deg S),,Antarctica
C_060,Bouvet Island (Bouvetoya),,Antarctica
C_061,South Georgia and the South Sandwich Islands,,Antarctica
C_062,French Southern Territories,,Antarctica
C_063,Heard Island and McDonald Islands,,Antarctica
C_064,Afghanistan,,Asia
C_065,Azerbaijan,,Asia
C_066,Bahrain,,Asia
C_067,Bangladesh,,Asia
C_068,Armenia,,Asia
C_069,Bhutan,,Asia
C_070,British Indian Ocean Territory (Chagos Archipelago),,Asia
C_071,Brunei Darussalam,,Asia
C_072,Myanmar,,Asia
C_073,Cambodia,,Asia
C_074,Sri Lanka,,Asia
C_075,China,,Asia
C_076,Taiwan,,Asia
C_077,Christmas Island,,Asia
C_078,Cocos (Keeling) Islands,,Asia
C_079,Cyprus,,Asia
C_080,Georgia,,Asia
C_081,Palestinian Territory,,Asia
C_082,Hong Kong,,Asia
C_083,India,,Asia
C_084,Indonesia,,Asia
C_085,Iran,,Asia
C_086,Iraq,,Asia
C_087,Israel,,Asia
