Date,Date_Key,Year,Quarter,Month_Number,Month_Name,Year_Month,Week_Number,Day,Day_Name,Is_Weekend
2015-01-01,20240508,2015,Q1,1,January,15-Jan,1,1,Thursday,FALSE
2015-01-02,20190629,2015,Q1,1,January,15-Jan,1,2,Friday,FALSE
2015-01-03,20161203,2015,Q1,1,January,15-Jan,1,3,Saturday,TRUE
2015-01-04,20191209,2015,Q1,1,January,15-Jan,1,4,Sunday,TRUE
2015-01-05,20220718,2015,Q1,1,January,15-Jan,2,5,Monday,FALSE
2015-01-06,20151222,2015,Q1,1,January,15-Jan,2,6,Tuesday,FALSE
2015-01-07,20240105,2015,Q1,1,January,15-Jan,2,7,Wednesday,FALSE
2015-01-08,20240927,2015,Q1,1,January,15-Jan,2,8,Thursday,FALSE
2015-01-09,20161206,2015,Q1,1,January,15-Jan,2,9,Friday,FALSE
2015-01-10,20230111,2015,Q1,1,January,15-Jan,2,10,Saturday,TRUE
2015-01-11,20240807,2015,Q1,1,January,15-Jan,2,11,Sunday,TRUE
2015-01-12,20241127,2015,Q1,1,January,15-Jan,3,12,Monday,FALSE
2015-01-13,20240110,2015,Q1,1,January,15-Jan,3,13,Tuesday,FALSE
2015-01-14,20201021,2015,Q1,1,January,15-Jan,3,14,Wednesday,FALSE
2015-01-15,20190409,2015,Q1,1,January,15-Jan,3,15,Thursday,FALSE
2015-01-16,20210911,2015,Q1,1,January,15-Jan,3,16,Friday,FALSE
2015-01-17,20211025,2015,Q1,1,January,15-Jan,3,17,Saturday,TRUE
2015-01-18,20240820,2015,Q1,1,January,15-Jan,3,18,Sunday,TRUE
2015-01-19,20210330,2015,Q1,1,January,15-Jan,4,19,Monday,FALSE
2015-01-20,20150211,2015,Q1,1,January,15-Jan,4,20,Tuesday,FALSE
2015-01-21,20150210,2015,Q1,1,January,15-Jan,4,21,Wednesday,FALSE
2015-01-22,20230817,2015,Q1,1,January,15-Jan,4,22,Thursday,FALSE
2015-01-23,20230331,2015,Q1,1,January,15-Jan,4,23,Friday,FALSE
2015-01-24,20230224,2015,Q1,1,January,15-Jan,4,24,Saturday,TRUE
2015-01-25,20150206,2015,Q1,1,January,15-Jan,4,25,Sunday,TRUE
2015-01-26,20180720,2015,Q1,1,January,15-Jan,5,26,Monday,FALSE
2015-01-27,20240112,2015,Q1,1,January,15-Jan,5,27,Tuesday,FALSE
2015-01-28,20200228,2015,Q1,1,January,15-Jan,5,28,Wednesday,FALSE
2015-01-29,20170316,2015,Q1,1,January,15-Jan,5,29,Thursday,FALSE
2015-01-30,20220401,2015,Q1,1,January,15-Jan,5,30,Friday,FALSE
2015-01-31,20241126,2015,Q1,1,January,15-Jan,5,31,Saturday,TRUE
2015-02-01,20160206,2015,Q1,2,February,15-Feb,5,1,Sunday,TRUE
2015-02-02,20170805,2015,Q1,2,February,15-Feb,6,2,Monday,FALSE
2015-02-03,20161004,2015,Q1,2,February,15-Feb,6,3,Tuesday,FALSE
2015-02-04,20201005,2015,Q1,2,February,15-Feb,6,4,Wednesday,FALSE
2015-02-05,20150706,2015,Q1,2,February,15-Feb,6,5,Thursday,FALSE
2015-02-06,20190815,2015,Q1,2,February,15-Feb,6,6,Friday,FALSE
2015-02-07,20240710,2015,Q1,2,February,15-Feb,6,7,Saturday,TRUE
2015-02-08,20220420,2015,Q1,2,February,15-Feb,6,8,Sunday,TRUE
2015-02-09,20230210,2015,Q1,2,February,15-Feb,7,9,Monday,FALSE
2015-02-10,20210601,2015,Q1,2,February,15-Feb,7,10,Tuesday,FALSE
2015-02-11,20231124,2015,Q1,2,February,15-Feb,7,11,Wednesday,FALSE
2015-02-12,20190127,2015,Q1,2,February,15-Feb,7,12,Thursday,FALSE
2015-02-13,20160206,2015,Q1,2,February,15-Feb,7,13,Friday,FALSE
2015-02-14,20180915,2015,Q1,2,February,15-Feb,7,14,Saturday,TRUE
2015-02-15,20170608,2015,Q1,2,February,15-Feb,7,15,Sunday,TRUE
2015-02-16,20150706,2015,Q1,2,February,15-Feb,8,16,Monday,FALSE
2015-02-17,20200626,2015,Q1,2,February,15-Feb,8,17,Tuesday,FALSE
2015-02-18,20220620,2015,Q1,2,February,15-Feb,8,18,Wednesday,FALSE
2015-02-19,20170405,2015,Q1,2,February,15-Feb,8,19,Thursday,FALSE
2015-02-20,20180614,2015,Q1,2,February,15-Feb,8,20,Friday,FALSE
2015-02-21,20150602,2015,Q1,2,February,15-Feb,8,21,Saturday,TRUE
2015-02-22,20150420,2015,Q1,2,February,15-Feb,8,22,Sunday,TRUE
2015-02-23,20191116,2015,Q1,2,February,15-Feb,9,23,Monday,FALSE
2015-02-24,20210924,2015,Q1,2,February,15-Feb,9,24,Tuesday,FALSE
2015-02-25,20161019,2015,Q1,2,February,15-Feb,9,25,Wednesday,FALSE
2015-02-26,20240822,2015,Q1,2,February,15-Feb,9,26,Thursday,FALSE
2015-02-27,20190608,2015,Q1,2,February,15-Feb,9,27,Friday,FALSE
2015-02-28,20161125,2015,Q1,2,February,15-Feb,9,28,Saturday,TRUE
2015-03-01,20241105,2015,Q1,3,March,15-Mar,9,1,Sunday,TRUE
2015-03-02,20240309,2015,Q1,3,March,15-Mar,10,2,Monday,FALSE
2015-03-03,20221018,2015,Q1,3,March,15-Mar,10,3,Tuesday,FALSE
2015-03-04,20150516,2015,Q1,3,March,15-Mar,10,4,Wednesday,FALSE
2015-03-05,20230322,2015,Q1,3,March,15-Mar,10,5,Thursday,FALSE
2015-03-06,20180904,2015,Q1,3,March,15-Mar,10,6,Friday,FALSE
2015-03-07,20190416,2015,Q1,3,March,15-Mar,10,7,Saturday,TRUE
2015-03-08,20220314,2015,Q1,3,March,15-Mar,10,8,Sunday,TRUE
2015-03-09,20160729,2015,Q1,3,March,15-Mar,11,9,Monday,FALSE
2015-03-10,20180807,2015,Q1,3,March,15-Mar,11,10,Tuesday,FALSE
2015-03-11,20160630,2015,Q1,3,March,15-Mar,11,11,Wednesday,FALSE
2015-03-12,20181228,2015,Q1,3,March,15-Mar,11,12,Thursday,FALSE
2015-03-13,20210212,2015,Q1,3,March,15-Mar,11,13,Friday,FALSE
2015-03-14,20240703,2015,Q1,3,March,15-Mar,11,14,Saturday,TRUE
2015-03-15,20200808,2015,Q1,3,March,15-Mar,11,15,Sunday,TRUE
2015-03-16,20240926,2015,Q1,3,March,15-Mar,12,16,Monday,FALSE
2015-03-17,20220311,2015,Q1,3,March,15-Mar,12,17,Tuesday,FALSE
2015-03-18,20221013,2015,Q1,3,March,15-Mar,12,18,Wednesday,FALSE
2015-03-19,20201118,2015,Q1,3,March,15-Mar,12,19,Thursday,FALSE
2015-03-20,20221126,2015,Q1,3,March,15-Mar,12,20,Friday,FALSE
2015-03-21,20180905,2015,Q1,3,March,15-Mar,12,21,Saturday,TRUE
2015-03-22,20210624,2015,Q1,3,March,15-Mar,12,22,Sunday,TRUE
2015-03-23,20221031,2015,Q1,3,March,15-Mar,13,23,Monday,FALSE
2015-03-24,20230625,2015,Q1,3,March,15-Mar,13,24,Tuesday,FALSE
2015-03-25,20190724,2015,Q1,3,March,15-Mar,13,25,Wednesday,FALSE
2015-03-26,20201226,2015,Q1,3,March,15-Mar,13,26,Thursday,FALSE
2015-03-27,20210507,2015,Q1,3,March,15-Mar,13,27,Friday,FALSE
