Team Key,TeamName,Country,Game Key
T_001,San Francisco Shock,United States,4
T_002,London Spitfire,United Kingdom,6
T_003,New York Excelsior,United States,5
T_004,Philadelphia Fusion,United States,10
T_005,Seoul Dynasty,South Korea,8
T_006,Vancouver Titans,Canada,9
T_007,Shanghai Dragons,China,6
T_008,Los Angeles Gladiators,United States,3
T_009,Atlanta Reign,United States,1
T_010,Los Angeles Valiant,United States,2
T_011,Team Envy,International / Unknown,9
T_012,Hangzhou Spark,China,9
T_013,RunAway,International / Unknown,9
T_014,Lunatic-hai,International / Unknown,6
T_015,Boston Uprising,United States,3
T_016,GC Busan,South Korea,1
T_017,Washington Justice,United States,7
T_018,Rogue,International / Unknown,10
T_019,Team Gigantti,International / Unknown,9
T_020,Florida Mayhem,United States,8
T_021,Misfits,International / Unknown,4
T_022,LGD Gaming,China,8
T_023,Osh-Tekk Warriors,International / Unknown,1
T_024,Talon Esports,International / Unknown,10
T_025,Flash Wolves,International / Unknown,10
T_026,Miraculous Youngster,International / Unknown,8
T_027,Team Kongdoo,International / Unknown,5
T_028,Cloud9,United States,5
T_029,Blank Esports,International / Unknown,6
T_030,Houston Outlaws,United States,6
T_031,NRG Esports,United States,5
T_032,Hong Kong Attitude,Hong Kong,6
T_033,Afreeca Freecs,International / Unknown,10
T_034,LuxuryWatch,International / Unknown,2
T_035,Immortals,International / Unknown,8
T_036,Vici Gaming,China,8
T_037,Paris Eternal,France,9
T_038,Gen.G,South Korea,1
T_039,Guangzhou Charge,China,7
T_040,ahq e-Sports Club,International / Unknown,4
T_041,Team Skadis Gift,International / Unknown,4
T_042,Dallas Fuel,United States,5
T_043,American National Team,American,9
T_044,Chinese National Team,Chinese,1
T_045,French National Team,French,6
T_046,Korean National Team,Korean,2
T_047,Canadian National Team,Canadian,4
T_048,Bilibili Gaming,China,3
T_049,FaZe Clan,United States,3
T_050,MVP,International / Unknown,1
T_051,Australian National Team,Australian,2
T_052,Invictus Gaming,China,7
T_053,ORDER,Australia,10
T_054,Fnatic,United Kingdom,6
T_055,Finnish National Team,Finnish,4
T_056,Swedish National Team,Swedish,8
T_057,British National Team,British,1
T_058,Toronto Defiant,Canada,5
T_059,Star Horn Royal Club,International / Unknown,6
T_060,Nova eSports,International / Unknown,4
T_061,Russian National Team,Russian,5
T_062,Lowkey Esports,International / Unknown,6
T_063,German National Team,German,2
T_064,Spanish National Team,Spanish,7
T_065,Taiwanese National Team,Taiwanese,4
T_066,eUnited,International / Unknown,3
T_067,NGA Club,International / Unknown,2
T_068,REUNITED,International / Unknown,6
T_069,Samsung,International / Unknown,7
T_070,Luminosity Gaming,Canada,8
T_071,Brazilian National Team,Brazilian,4
T_072,Thai National Team,Thai,2
T_073,Team Liquid,Netherlands,1
T_074,DeToNator,International / Unknown,3
T_075,Team Singularity,International / Unknown,6
T_076,Ninjas in Pyjamas,Sweden,5
T_077,compLexity Gaming,International / Unknown,10
T_078,Danish National Team,Danish,9
T_079,Dutch National Team,Dutch,3
T_080,Mindfreak,,3
T_081,Winstrike Team,,8
T_082,Singaporian National Team,,7
T_083,Austrian National Team,,5
T_084,Italian National Team,,3
T_085,Japanese National Team,,5
T_086,Norweigan National Team,,10
T_087,Third Impact,,10
T_088,World Elite,,3
T_089,Snake Esports,,10
T_090,Isurus Gaming,,5
T_091,GamersOrigin,,4
T_092,Copenhagen Flames,,4
T_093,Team Celestial,,5
T_094,Polish National Team,,4
T_095,Newbee,,10
T_096,OMG,,6
T_097,Legacy eSports,,8
T_098,Triumph,,2
T_099,Ghost Gaming,,7
T_100,Hong Kong National Team,,5
T_101,Jin Air Green Wings,,10
T_102,SK Telecom T1,,8
T_103,Incredible Miracle,,6
T_104,StarTale,,2
